score,company_jp,company_en
72,デロイトトーマツ,Deloitte Tohmatsu
72,KPMGコンサルティング,KPMG Consulting
72,PwCコンサルティング,PwC Consulting
71,日本生命,Nippon Life Insurance
71,三井住友信託,Sumitomo Mitsui Trust Bank
71,三菱UFJ信託↑,Mitsubishi UFJ Trust and Banking↑
71,花王,Kao
71,住友化学,Sumitomo Chemical
71,積水化学工業,Sekisui Chemical
71,AGC,AGC
71,飯野海運,Iino Lines
71,清水建設,Shimizu Corporation
71,竹中工務店,Takenaka Corporation
71,大成建設,Taisei Corporation
71,千代田化工建設,Chiyoda Corporation
71,岩谷産業,Iwatani Corporation
71,長瀬産業,Nagase & Co.
71,メタルワン,Metal One
71,伊藤忠エネクス,ITOCHU ENEX
71,JFEスチール,JFE Steel
71,東映,Toei
71,ヤマハ↓,Yamaha↓
71,WOWOW,WOWOW
71,シグマクシス,SIGMAXYZ
71,オービック,OBIC
71,医学書院,Igaku-Shoin
71,福音館書店,Fukuinkan Shoten
71,日本IBM,IBM Japan
71,ダウ・ケミカル日本,Dow Chemical Japan
70,三菱UFJ銀行(OP),MUFG Bank (OP)
70,日本証券金融,Japan Securities Finance
70,オリックス,ORIX
70,東京電力,TEPCO
70,東北電力,Tohoku Electric Power
70,JERA↑,JERA↑
70,三井化学,Mitsui Chemicals
70,日清製粉,Nisshin Seifun
70,東急,Tokyu Corporation
70,平和不動産,Heiwa Real Estate
70,ダイビル,Daibiru
70,NTT都市開発,NTT Urban Development
70,コマツ,Komatsu
70,いちご,Ichigo
70,三菱ガス化学,Mitsubishi Gas Chemical
70,住友林業,Sumitomo Forestry
70,大和ハウス工業,Daiwa House Industry
70,ユニ・チャーム,Unicharm
70,オリンパス,Olympus
70,横河電機,Yokogawa Electric
70,大塚製薬,Otsuka Pharmaceutical
70,阪和興業,Hanwa
70,兼松,Kanematsu
70,日鉄物産,Nittetsu Bussan
70,稲畑産業,Inabata & Co.
70,東京応化工業,Tokyo Ohka Kogyo
70,NTTデータ,NTT DATA
70,富士通↑,Fujitsu↑
70,SCREEN,SCREEN
70,バンダイナムコ,Bandai Namco
70,KADOKAWA,KADOKAWA
70,三井海洋開発,MODEC
70,大気社,Taikisha
70,3Mジャパン,3M Japan
70,LVMHジャパン,LVMH Japan
70,アメックス日本,American Express Japan
69,日本郵政(総合職),Japan Post (General)
69,信金中央金庫,Shinkin Central Bank
69,九州電力,Kyushu Electric Power
69,電源開発,J-POWER
69,パナソニック,Panasonic
69,NTT東日本,NTT East
69,NTT西日本,NTT West
69,首都高速道路,Metropolitan Expressway
69,サイバーエージェント,CyberAgent
69,キヤノン,Canon
